x0,x1,y0,y1,mu
6,43,2,3,1.0
6,7,3,47,1.0
42,43,3,47,1.0
6,43,47,48,1.0
22,23,3,7,1.0
17,23,7,8,1.0
17,18,4,7,1.0
28,29,3,7,1.0
25,38,7,8,1.0
24,25,5,10,1.0
22,24,9,10,1.0
22,23,10,15,1.0
8,14,11,17,1.0
20,21,14,16,1.0
18,20,15,16,1.0
18,19,16,31,1.0
13,18,19,20,1.0
13,14,20,23,1.0
15,16,21,23,1.0
12,18,24,25,1.0
11,12,22,27,1.0
13,14,26,31,1.0
14,18,30,31,1.0
15,16,27,29,1.0
21,22,22,28,1.0
22,23,28,30,1.0
23,24,30,31,1.0
24,25,31,32,1.0
25,26,32,33,1.0
26,28,33,34,1.0
28,34,34,35,1.0
34,36,33,34,1.0
36,37,32,33,1.0
37,38,31,32,1.0
38,39,30,31,1.0
39,40,28,30,1.0
40,41,22,28,1.0
39,40,20,22,1.0
38,39,19,20,1.0
37,38,18,19,1.0
36,37,17,18,1.0
34,36,16,17,1.0
28,34,15,16,1.0
26,28,16,17,1.0
25,26,17,18,1.0
24,25,18,19,1.0
23,24,19,20,1.0
22,23,20,22,1.0
23,24,18,19,1.0
22,23,16,18,1.0
20,22,17,18,1.0
38,39,3,18,1.0
19,22,30,31,1.0
22,23,33,34,1.0
39,40,32,33,1.0
8,9,30,38,1.0
14,15,39,40,1.0
16,23,36,38,1.0
29,37,36,38,1.0
29,37,41,43,1.0
22,23,43,47,1.0
17,23,42,43,1.0
17,18,43,46,1.0
15,16,45,47,1.0
11,14,44,45,1.0
27,36,12,13,1.0
27,37,10,11,1.0
8,9,44,46,1.0
9,10,42,46,1.0
39,40,44,46,1.0
40,41,42,46,1.0
